,Gemeinde,Sachschaden,Personenschaden,Getötete,Schwerverletzte,Leichtverletzte,Anzahl Verletzte
194,Niederbipp,17,18,1,3,22,25
195,Niederhünigen,1,2,0,1,1,2
196,Niedermuhlern,1,1,0,0,1,1
197,Niederönz,1,1,0,0,1,1
198,Niederried bei Interlaken,1,1,0,0,2,2
199,Nods,0,2,0,1,1,2
200,Oberbalm,3,1,1,0,0,0
201,Oberbipp,3,2,0,0,2,2
202,Oberburg,10,9,0,2,11,13
203,Oberdiessbach,11,11,0,4,15,19
204,Oberhofen am Thunersee,7,6,0,1,6,7
205,Oberhünigen,0,0,0,0,0,0
206,Oberlangenegg,0,2,0,0,3,3
207,Oberried am Brienzersee,1,2,0,2,0,2
208,Obersteckholz,1,0,0,0,0,0
209,Oberthal,0,1,0,0,1,1
210,Oberwil bei Büren,1,0,0,0,0,0
211,Oberwil im Simmental,3,5,0,1,12,13
212,Ochlenberg,3,2,0,0,3,3
213,Oeschenbach,0,0,0,0,0,0
214,Oppligen,2,4,0,1,4,5
215,Orpund,8,7,0,1,10,11
216,Orvin,2,4,0,0,4,4
217,Ostermundigen,38,29,0,0,34,34
218,Perrefitte,1,0,0,0,0,0
219,Péry-La Heutte,8,1,0,1,0,1
220,Petit-Val,2,0,0,0,0,0
221,Pieterlen,10,5,0,0,6,6
222,Plateau de Diesse,2,3,0,0,4,4
223,Pohlern,0,1,0,0,1,1
224,Port,14,2,0,0,4,4
225,Radelfingen,3,1,0,0,1,1
226,Rapperswil (BE),6,5,0,0,5,5
227,Reconvilier,1,2,0,0,2,2
228,Reichenbach im Kandertal,19,5,0,1,4,5
229,Reisiswil,0,1,0,1,0,1
230,Renan (BE),2,2,0,0,5,5
231,Reutigen,0,3,0,0,3,3
232,Riggisberg,13,13,0,6,7,13
233,Ringgenberg (BE),5,5,0,1,4,5
234,Roches (BE),0,0,0,0,0,0
235,Roggwil (BE),13,11,0,1,12,13
236,Rohrbach,0,2,0,1,1,2
237,Rohrbachgraben,1,0,0,0,0,0
238,Romont (BE),0,1,0,0,1,1
239,Röthenbach im Emmental,2,5,0,0,5,5
240,Rubigen,10,10,0,1,11,12
241,Rüderswil,4,8,0,2,8,10
242,Rüdtligen-Alchenflüh,4,5,0,1,4,5
243,Rüeggisberg,4,8,0,2,7,9
244,Rüegsau,2,0,0,0,0,0
245,Rumendingen,1,0,0,0,0,0
246,Rumisberg,0,2,0,0,2,2
247,Rümligen,2,3,0,2,4,6
248,Rüschegg,1,6,0,1,5,6
249,Rüti bei Büren,1,1,0,0,1,1
250,Rüti bei Lyssach,0,0,0,0,0,0
251,Rütschelen,0,1,0,1,0,1
252,Saanen,22,18,0,3,20,23
253,Safnern,3,1,0,0,1,1
254,Saicourt,0,5,0,2,4,6
255,Saint-Imier,10,12,0,7,8,15
256,Sauge,1,0,0,0,0,0
257,Saules (BE),0,1,0,0,1,1
258,Saxeten,0,0,0,0,0,0
259,Schangnau,1,1,0,0,1,1
260,Schattenhalb,3,5,0,2,3,5
261,Schelten,0,0,0,0,0,0
262,Scheuren,1,2,0,0,2,2
263,Schüpfen,5,9,1,2,6,8
264,Schwadernau,2,0,0,0,0,0
265,Schwanden bei Brienz,0,0,0,0,0,0
266,Schwarzenburg,13,18,0,4,19,23
267,Schwarzhäusern,3,0,0,0,0,0
268,Schwendibach,0,0,0,0,0,0
269,Seeberg,3,6,0,0,10,10
270,Seedorf (BE),8,2,0,0,2,2
271,Seehof,0,0,0,0,0,0
272,Seftigen,2,2,0,0,2,2
273,Signau,3,6,0,2,6,8
274,Sigriswil,8,8,0,1,8,9
275,Siselen,3,2,0,2,0,2
276,Sonceboz-Sombeval,2,3,0,1,4,5
277,Sonvilier,1,1,0,0,2,2
278,Sorvilier,0,0,0,0,0,0
279,Spiez,34,25,0,7,23,30
280,Steffisburg,35,37,0,5,32,37
281,Stettlen,3,1,0,0,1,1
282,Stocken-Höfen,1,1,0,1,2,3
283,St. Stephan,3,2,0,0,2,2
284,Studen (BE),7,8,0,0,8,8
285,Sumiswald,10,9,0,3,9,12
286,Sutz-Lattrigen,4,5,1,0,4,4
287,Täuffelen,6,9,0,2,10,12
288,Tavannes,15,8,0,2,7,9
289,Teuffenthal (BE),0,0,0,0,0,0
290,Thierachern,11,10,0,5,5,10
291,Thörigen,2,2,0,0,2,2
292,Thun,129,138,0,26,135,161
293,Thunstetten,15,7,0,2,7,9
294,Toffen,6,2,0,1,1,2
295,Trachselwald,0,2,0,1,1,2
296,Tramelan,7,4,0,0,4,4
297,Treiten,2,0,0,0,0,0
298,Trub,1,0,0,0,0,0
299,Trubschachen,6,2,0,1,1,2
300,Tschugg,0,0,0,0,0,0
301,Twann-Tüscherz,4,8,0,3,7,10
302,Uebeschi,0,0,0,0,0,0
303,Uetendorf,19,16,1,6,14,20
304,Unterlangenegg,3,6,0,0,10,10
305,Unterseen,11,17,0,4,14,18
306,Ursenbach,1,3,0,0,3,3
307,Urtenen-Schönbühl,12,11,0,2,13,15
308,Uttigen,2,3,0,1,2,3
309,Utzenstorf,4,8,1,2,10,12
310,Valbirse,1,4,1,0,3,3
311,Vechigen,10,8,0,5,6,11
312,Villeret,5,5,0,1,4,5
313,Vinelz,4,1,0,0,1,1
314,Wachseldorn,1,0,0,0,0,0
315,Wald (BE),2,2,0,0,3,3
316,Walkringen,4,6,0,1,5,6
317,Walliswil bei Niederbipp,2,1,0,2,1,3
318,Walliswil bei Wangen,2,1,0,0,1,1
319,Walperswil,3,0,0,0,0,0
320,Walterswil (BE),0,1,0,0,1,1
321,Wangen an der Aare,4,2,0,1,2,3
322,Wangenried,0,0,0,0,0,0
323,Wattenwil,1,5,0,0,5,5
324,Wengi,3,4,0,1,3,4
325,Wichtrach,5,13,0,5,11,16
326,Wiedlisbach,13,5,0,0,10,10
327,Wiggiswil,0,1,0,0,2,2
328,Wilderswil,13,11,0,1,16,17
329,Wiler bei Utzenstorf,0,3,0,2,1,3
330,Wileroltigen,1,0,0,0,0,0
331,Willadingen,1,0,0,0,0,0
332,Wimmis,5,3,0,0,3,3
333,Wohlen bei Bern,8,9,0,2,14,16
334,Wolfisberg,0,0,0,0,0,0
335,Worb,19,23,0,2,27,29
336,Worben,4,2,0,1,1,2
337,Wynau,2,4,0,0,4,4
338,Wynigen,6,10,0,2,9,11
339,Wyssachen,0,2,1,1,0,1
340,Zäziwil,2,1,0,0,1,1
341,Zielebach,1,0,0,0,0,0
342,Zollikofen,21,15,1,4,10,14
343,Zuzwil (BE),0,0,0,0,0,0
344,Zweisimmen,6,5,1,1,4,5
345,Zwieselberg,1,1,0,1,0,1
346,¹ Zahlen für lebensbedrohlich Verletzte und erheblich Verletzte erst ab 2015 verfügbar,0,0,0,0,0,0
