SMI-Family
ISIN;CH0009980894;;;;;;CH0000222130;;;;CH0004147150;CH0004147192;CH0004147242
SYMBOL;SMI ;;;;;;SMIC;;;;SSPRC;SSPRA;SSPRM
NAME;SMI®;;;;;;SMIC;;;;SMI® Current;SMI® Daily;SMI® Monthly
;Price-Index;;;;;;Total-Return;;;;Spread %;aver. Sp. %;aver. Sp. %
YTDPerf.%;-7.200;-7.700;-7.020;-7.460;-7.660;-7.680;-3.990;-4.500;-3.800;-4.260;-50.000;-33.340;-100.000;
Date;Open;Close;High;Low;Bid;Ask;  Open  ; Close  ; High   ;  Low   ;Close;Close;Close
12.10.2018;8702.13;8660.38;8738.78;8660.25;8659.71;8662.47;17804.48;17719.06;17879.48;17718.81;00.03;00.04;00.00;
11.10.2018;8760.52;8639.19;8796.87;8628.65;8637.87;8640.76;17923.95;17675.72;17998.32;17654.15;00.03;00.04;00.00;
10.10.2018;8956.79;8892.88;8992.07;8888.46;8892.07;8895.34;18325.52;18194.77;18397.71;18185.72;00.04;00.03;00.00;
09.10.2018;8956.80;8964.11;8970.35;8888.97;8962.11;8965.32;18325.55;18340.49;18353.26;18186.76;00.04;00.04;00.00;
08.10.2018;9012.67;8964.14;9014.65;8938.48;8962.91;8965.63;18439.85;18340.55;18443.90;18288.06;00.03;00.03;00.00;
05.10.2018;9086.18;9042.08;9100.09;9035.24;9040.38;9043.31;18590.25;18500.03;18618.72;18486.03;00.03;00.03;00.00;
04.10.2018;9150.98;9097.52;9154.59;9076.99;9095.36;9098.62;18722.83;18613.45;18730.21;18571.45;00.04;00.03;00.00;
03.10.2018;9126.31;9175.21;9194.99;9123.48;9174.25;9177.07;18672.35;18772.41;18812.88;18666.57;00.03;00.03;00.00;
02.10.2018;9076.57;9087.32;9090.46;9050.50;9086.04;9089.19;18570.60;18592.58;18599.00;18517.24;00.03;00.03;00.00;
01.10.2018;9094.28;9127.05;9155.65;9084.22;9125.19;9128.17;18606.81;18673.88;18732.38;18586.24;00.03;00.03;00.00;
28.09.2018;9083.39;9087.99;9112.57;9030.32;9086.09;9088.58;18584.55;18593.96;18644.25;18475.95;00.03;00.03;00.03;
27.09.2018;9040.81;9112.22;9123.38;8998.06;9111.11;9114.03;18497.43;18643.54;18666.37;18409.95;00.03;00.03;00.00;
26.09.2018;9005.79;9080.14;9083.08;8990.95;9078.21;9080.93;18425.77;18577.90;18583.91;18395.41;00.03;00.03;00.00;
25.09.2018;8959.22;9021.61;9031.26;8954.96;9020.17;9022.88;18330.49;18458.14;18477.89;18321.79;00.03;00.03;00.00;
24.09.2018;8986.91;8946.22;8993.78;8933.20;8945.06;8948.00;18387.15;18303.89;18401.20;18277.25;00.03;00.03;00.00;
21.09.2018;9049.60;8995.38;9059.29;8994.30;8994.65;8997.32;18515.40;18404.48;18535.23;18402.27;00.03;00.03;00.00;
20.09.2018;8951.66;9000.81;9006.74;8946.60;8999.72;9002.45;18315.02;18415.59;18427.71;18304.67;00.03;00.03;00.00;
19.09.2018;8927.70;8939.85;8961.03;8905.35;8937.86;8941.11;18266.00;18290.87;18334.19;18220.27;00.04;00.03;00.00;
18.09.2018;8922.97;8915.87;8956.64;8874.45;8913.91;8916.63;18237.11;18222.61;18305.92;18137.94;00.03;00.03;00.00;
17.09.2018;8937.52;8936.71;8960.07;8899.84;8934.94;8937.53;18266.85;18265.20;18312.93;18189.84;00.03;00.03;00.00;
14.09.2018;8982.81;8970.00;8987.19;8942.56;8967.76;8970.99;18359.43;18333.24;18368.37;18277.15;00.04;00.03;00.00;
13.09.2018;8955.69;8960.08;8997.46;8948.69;8958.29;8960.81;18303.99;18312.95;18389.37;18289.67;00.03;00.03;00.00;
12.09.2018;8930.88;8960.13;8983.52;8930.88;8958.90;8961.73;18253.29;18313.05;18360.87;18253.29;00.03;00.03;00.00;
11.09.2018;8942.25;8914.94;8962.65;8888.87;8912.31;8915.11;18276.52;18220.69;18318.21;18167.43;00.03;00.03;00.00;
10.09.2018;8873.72;8930.24;8950.97;8859.28;8928.83;8931.45;18136.45;18251.97;18294.35;18106.95;00.03;00.03;00.00;
07.09.2018;8806.46;8843.11;8849.34;8796.35;8840.53;8843.98;17998.99;18073.90;18086.64;17978.33;00.04;00.03;00.00;
06.09.2018;8837.57;8818.72;8893.35;8816.16;8817.14;8820.10;18062.58;18024.05;18176.57;18018.80;00.03;00.03;00.00;
05.09.2018;8919.58;8868.86;8933.30;8868.86;8867.80;8871.23;18230.19;18126.52;18258.23;18126.52;00.04;00.03;00.00;
04.09.2018;9034.50;8951.89;9047.66;8905.86;8949.37;8952.50;18465.07;18296.23;18491.97;18202.14;00.04;00.03;00.00;
03.09.2018;8971.20;9003.47;9003.47;8962.41;9000.37;9004.08;18335.68;18401.65;18401.65;18317.73;00.04;00.03;00.00;
31.08.2018;9012.08;8973.56;9012.08;8964.71;8971.85;8974.62;18419.24;18340.52;18419.24;18322.43;00.03;00.03;00.03;
30.08.2018;9054.38;9042.06;9065.53;9005.76;9039.80;9042.47;18505.70;18480.52;18528.48;18406.31;00.03;00.03;00.00;
29.08.2018;9087.41;9083.84;9088.39;9043.40;9081.77;9084.72;18573.20;18565.90;18575.20;18483.25;00.03;00.03;00.00;
28.08.2018;9114.75;9084.26;9115.25;9057.61;9082.31;9085.30;18629.08;18566.77;18630.09;18512.29;00.03;00.03;00.00;
27.08.2018;9101.66;9098.70;9108.20;9045.08;9097.21;9099.95;18602.33;18596.27;18615.70;18486.69;00.03;00.03;00.00;
24.08.2018;9051.25;9052.90;9075.88;9019.37;9050.78;9053.49;18499.29;18502.67;18549.65;18434.15;00.03;00.03;00.00;
23.08.2018;9049.76;9049.72;9074.36;9034.31;9048.34;9051.36;18496.26;18496.17;18546.54;18464.66;00.03;00.03;00.00;
22.08.2018;9054.44;9048.20;9077.04;9029.74;9046.90;9049.59;18505.81;18493.06;18552.00;18455.33;00.03;00.03;00.00;
21.08.2018;9032.92;9082.86;9101.41;9025.45;9081.41;9084.71;18461.83;18563.91;18601.81;18446.57;00.04;00.03;00.00;
20.08.2018;9031.28;9059.53;9072.43;9010.93;9058.15;9061.21;18458.47;18516.21;18542.58;18416.89;00.03;00.03;00.00;
17.08.2018;9021.20;9003.91;9029.14;8961.17;9001.49;9004.93;18437.88;18402.54;18454.10;18315.19;00.04;00.03;00.00;
16.08.2018;8973.55;8997.72;9002.14;8950.14;8996.52;8999.69;18340.49;18389.90;18398.92;18292.64;00.04;00.03;00.00;
15.08.2018;9006.39;8926.23;9036.10;8901.93;8924.08;8927.30;18407.62;18243.78;18468.33;18194.11;00.04;00.03;00.00;
14.08.2018;9063.10;9010.19;9070.41;8966.61;9008.05;9011.65;18523.53;18415.38;18538.47;18326.31;00.04;00.03;00.00;
13.08.2018;8993.95;9005.35;9027.91;8960.77;9004.61;9007.60;18382.19;18405.47;18451.59;18314.38;00.03;00.03;00.00;
10.08.2018;9096.28;9031.33;9115.63;9017.11;9030.17;9032.96;18591.33;18458.58;18630.89;18429.53;00.03;00.03;00.00;
09.08.2018;9155.62;9145.68;9165.93;9128.03;9144.11;9147.16;18712.62;18692.31;18733.68;18656.22;00.03;00.03;00.00;
08.08.2018;9176.41;9176.15;9192.07;9139.71;9174.65;9177.44;18755.10;18754.57;18787.12;18680.09;00.03;00.03;00.00;
07.08.2018;9161.97;9201.22;9213.21;9151.86;9199.90;9202.50;18725.58;18805.82;18830.31;18704.94;00.03;00.03;00.00;
06.08.2018;9166.25;9149.36;9197.83;9125.74;9148.14;9151.06;18734.33;18699.81;18798.89;18651.54;00.03;00.03;00.00;
03.08.2018;9163.89;9158.00;9174.26;9127.16;9156.83;9159.81;18729.51;18717.47;18750.71;18654.45;00.03;00.03;00.00;
02.08.2018;9128.14;9155.57;9165.25;9116.14;9152.31;9156.61;18656.44;18712.52;18732.30;18631.93;00.05;00.03;00.00;
31.07.2018;9164.30;9174.33;9199.92;9150.74;9174.18;9180.37;18730.34;18750.86;18803.15;18702.64;00.07;00.03;00.03;
30.07.2018;9150.47;9163.38;9195.79;9143.79;9161.90;9164.58;18702.08;18728.47;18794.72;18688.44;00.03;00.03;00.00;
27.07.2018;9157.42;9173.20;9184.82;9142.19;9171.51;9175.30;18716.30;18748.55;18772.29;18685.17;00.04;00.03;00.00;
26.07.2018;9116.13;9139.47;9155.19;9098.16;9138.44;9141.12;18631.91;18679.60;18711.73;18595.17;00.03;00.04;00.00;
25.07.2018;8998.66;9019.46;9023.12;8987.22;9017.65;9021.55;18391.81;18434.33;18441.81;18368.42;00.04;00.03;00.00;
24.07.2018;8950.35;9005.58;9026.18;8947.36;9003.93;9006.53;18293.07;18405.95;18448.05;18286.97;00.03;00.04;00.00;
23.07.2018;8947.32;8959.79;8974.04;8920.73;8958.86;8961.36;18286.88;18312.37;18341.50;18232.54;00.03;00.04;00.00;
20.07.2018;8949.06;8991.34;8991.69;8918.29;8989.62;8992.35;18290.45;18376.86;18377.56;18227.56;00.03;00.03;00.00;
19.07.2018;8918.15;8933.97;8978.91;8914.67;8931.96;8935.23;18227.27;18259.59;18351.45;18220.15;00.04;00.03;00.00;
18.07.2018;8876.62;8938.12;8943.24;8873.03;8935.48;8939.16;18142.39;18268.07;18278.54;18135.05;00.04;00.03;00.00;
17.07.2018;8828.56;8824.67;8839.99;8782.22;8823.00;8825.69;18044.15;18036.20;18067.53;17949.45;00.03;00.03;00.00;
16.07.2018;8848.22;8847.96;8872.18;8816.55;8846.41;8849.43;18084.33;18083.81;18133.31;18019.61;00.03;00.03;00.00;
13.07.2018;8831.34;8861.05;8867.15;8824.61;8858.76;8861.89;18049.85;18110.57;18123.03;18036.08;00.04;00.03;00.00;
12.07.2018;8712.88;8818.19;8820.81;8687.35;8816.32;8819.14;17807.73;18022.96;18028.31;17755.55;00.03;00.04;00.00;
11.07.2018;8699.11;8682.93;8712.76;8648.72;8681.90;8685.44;17779.58;17746.51;17807.48;17676.58;00.04;00.04;00.00;
10.07.2018;8768.50;8768.91;8795.26;8749.02;8767.87;8771.03;17921.41;17922.25;17976.10;17881.60;00.04;00.03;00.00;
09.07.2018;8725.30;8759.92;8766.58;8714.32;8758.54;8761.68;17833.11;17903.87;17917.47;17810.67;00.04;00.04;00.00;
06.07.2018;8696.94;8697.42;8703.87;8650.00;8695.20;8698.48;17775.15;17776.12;17789.31;17679.20;00.04;00.04;00.00;
05.07.2018;8664.69;8674.04;8723.97;8653.44;8672.28;8676.06;17709.24;17728.33;17830.39;17686.25;00.04;00.04;00.00;
04.07.2018;8606.55;8663.53;8667.11;8603.17;8662.20;8664.69;17590.39;17706.85;17714.18;17583.50;00.03;00.04;00.00;
03.07.2018;8561.54;8625.49;8645.67;8542.51;8624.19;8627.24;17498.41;17629.10;17670.35;17459.50;00.04;00.04;00.00;
02.07.2018;8529.51;8529.59;8561.64;8507.60;8528.10;8531.15;17432.94;17433.11;17498.62;17388.16;00.04;00.04;00.00;
29.06.2018;8561.78;8609.30;8616.15;8542.98;8607.05;8611.30;17498.91;17596.02;17610.03;17460.49;00.05;00.04;00.04;
28.06.2018;8467.44;8461.71;8513.66;8410.92;8461.33;8464.37;17306.08;17294.37;17400.54;17190.57;00.04;00.04;00.00;
27.06.2018;8465.33;8504.50;8551.14;8372.90;8504.04;8507.28;17301.77;17381.83;17477.14;17112.85;00.04;00.04;00.00;
26.06.2018;8487.57;8477.98;8492.74;8438.89;8473.85;8478.50;17347.23;17327.63;17357.80;17247.74;00.05;00.04;00.00;
25.06.2018;8550.33;8458.75;8573.70;8453.40;8456.64;8459.20;17475.50;17288.33;17523.26;17277.38;00.03;00.04;00.00;
22.06.2018;8471.97;8616.56;8616.56;8468.57;8614.32;8617.69;17315.35;17610.87;17610.87;17308.39;00.04;00.04;00.00;
21.06.2018;8571.76;8459.93;8598.86;8454.67;8459.51;8462.78;17519.29;17290.74;17574.68;17279.99;00.04;00.04;00.00;
20.06.2018;8503.76;8557.51;8588.38;8500.80;8555.77;8558.35;17380.32;17490.17;17553.26;17374.27;00.03;00.04;00.00;
19.06.2018;8456.89;8463.41;8471.87;8424.04;8461.97;8465.01;17284.53;17297.84;17315.15;17217.39;00.04;00.04;00.00;
18.06.2018;8609.68;8519.57;8621.82;8488.36;8518.12;8521.28;17596.81;17412.63;17621.61;17348.85;00.04;00.04;00.00;
15.06.2018;8684.85;8642.60;8697.07;8632.17;8640.28;8644.39;17750.43;17664.08;17775.41;17642.76;00.05;00.04;00.00;
14.06.2018;8594.72;8690.83;8694.63;8564.33;8690.12;8693.16;17566.23;17762.67;17770.41;17504.11;00.03;00.04;00.00;
13.06.2018;8654.26;8634.61;8657.94;8618.36;8633.36;8636.93;17687.91;17647.76;17695.44;17614.54;00.04;00.04;00.00;
12.06.2018;8646.88;8640.80;8659.19;8604.91;8637.66;8641.33;17672.82;17660.41;17698.00;17587.05;00.04;00.03;00.00;
11.06.2018;8567.82;8623.54;8624.62;8567.52;8621.63;8624.64;17511.24;17625.13;17627.34;17510.63;00.03;00.03;00.00;
08.06.2018;8486.17;8512.06;8549.05;8456.51;8511.72;8515.45;17344.36;17397.28;17472.87;17283.75;00.04;00.04;00.00;
07.06.2018;8575.55;8548.33;8612.88;8514.03;8546.44;8549.45;17527.05;17471.40;17603.35;17401.31;00.04;00.03;00.00;
06.06.2018;8532.02;8544.99;8567.58;8470.15;8542.61;8545.65;17438.07;17464.59;17510.75;17311.62;00.04;00.03;00.00;
05.06.2018;8608.14;8538.31;8631.87;8538.31;8536.59;8539.93;17593.66;17450.92;17642.15;17450.92;00.04;00.03;00.00;
04.06.2018;8664.15;8634.42;8667.83;8605.72;8632.05;8635.48;17708.12;17647.35;17715.65;17588.71;00.04;00.03;00.00;
01.06.2018;8558.34;8618.54;8645.34;8529.80;8617.02;8619.85;17491.87;17614.92;17669.68;17433.55;00.03;00.03;00.00;
31.05.2018;8630.63;8456.95;8641.62;8454.28;8456.01;8458.89;17639.61;17284.65;17662.09;17279.19;00.03;00.04;00.03;
30.05.2018;8629.79;8578.68;8654.57;8578.68;8578.18;8581.56;17637.90;17533.45;17688.56;17533.45;00.04;00.04;00.00;
29.05.2018;8723.52;8637.20;8735.41;8613.24;8635.35;8638.08;17829.47;17653.05;17853.78;17604.07;00.03;00.04;00.00;
28.05.2018;8783.05;8775.45;8817.73;8761.93;8774.37;8779.06;17951.14;17935.60;18022.02;17907.97;00.05;00.03;00.00;
25.05.2018;8789.45;8759.08;8834.96;8759.08;8758.64;8762.54;17959.74;17897.68;18052.74;17897.68;00.04;00.03;00.00;
24.05.2018;8795.78;8770.94;8841.02;8733.92;8768.05;8772.07;17972.67;17921.92;18065.12;17846.28;00.05;00.03;00.00;
23.05.2018;8902.36;8794.94;8903.22;8766.52;8793.23;8796.28;18190.44;17970.94;18192.21;17912.89;00.03;00.03;00.00;
22.05.2018;8977.46;8936.07;8978.43;8924.32;8935.17;8938.53;18343.91;18259.34;18345.88;18235.31;00.04;00.03;00.00;
18.05.2018;8941.27;8940.46;8982.87;8917.76;8938.79;8941.92;18269.95;18268.30;18354.96;18221.92;00.04;00.03;00.00;
17.05.2018;8960.82;8988.33;8988.33;8937.52;8984.42;8988.61;18309.91;18366.11;18366.11;18262.29;00.05;00.03;00.00;
16.05.2018;8988.26;8973.88;9002.80;8951.28;8973.40;8976.20;18365.98;18336.58;18395.67;18290.41;00.03;00.03;00.00;
15.05.2018;8986.82;8994.22;9016.29;8963.91;8992.28;8995.24;18363.03;18378.15;18423.25;18316.21;00.03;00.03;00.00;
14.05.2018;9010.53;9000.89;9025.88;8979.90;8999.92;9002.93;18411.47;18391.78;18442.84;18348.89;00.03;00.03;00.00;
11.05.2018;8982.45;8993.51;9002.15;8964.91;8991.37;8995.05;18354.11;18376.70;18394.36;18318.27;00.04;00.03;00.00;
09.05.2018;8964.56;8984.10;8984.10;8926.19;8980.65;8984.70;18299.03;18338.91;18338.91;18220.70;00.04;00.03;00.00;
08.05.2018;8939.40;8944.90;8970.67;8913.73;8942.73;8945.85;18247.67;18258.89;18311.51;18195.26;00.03;00.03;00.00;
07.05.2018;8895.53;8978.65;8979.56;8895.10;8976.55;8979.54;18154.21;18323.83;18325.69;18153.32;00.03;00.03;00.00;
04.05.2018;8862.71;8903.83;8905.86;8844.14;8901.50;8905.18;18039.13;18122.83;18126.96;18001.32;00.04;00.03;00.00;
03.05.2018;8873.02;8842.29;8924.33;8840.28;8841.34;8844.19;18047.77;17985.27;18152.14;17981.19;00.03;00.03;00.00;
02.05.2018;8880.77;8896.28;8900.54;8858.48;8894.48;8897.84;18063.54;18095.09;18103.74;18018.20;00.04;00.03;00.00;
30.04.2018;8839.61;8886.26;8900.60;8836.85;8884.53;8887.83;17979.81;18074.71;18103.87;17974.21;00.04;00.03;00.03;
27.04.2018;8838.18;8843.02;8849.51;8807.33;8841.83;8844.82;17976.90;17986.76;17999.95;17914.15;00.03;00.03;00.00;
26.04.2018;8733.98;8835.03;8836.84;8725.17;8833.76;8836.88;17764.96;17970.50;17974.19;17747.06;00.04;00.03;00.00;
25.04.2018;8782.88;8740.96;8795.87;8690.66;8738.72;8742.17;17855.52;17770.29;17881.91;17668.02;00.04;00.04;00.00;
24.04.2018;8804.85;8796.91;8837.32;8768.11;8795.35;8798.32;17891.95;17875.81;17957.91;17817.29;00.03;00.03;00.00;
23.04.2018;8781.97;8806.63;8807.37;8735.93;8804.39;8807.67;17815.33;17865.36;17866.86;17721.95;00.04;00.04;00.00;
20.04.2018;8825.81;8807.80;8842.12;8785.46;8805.66;8808.90;17904.28;17867.73;17937.36;17822.42;00.04;00.03;00.00;
19.04.2018;8872.94;8833.18;8872.94;8800.14;8831.68;8834.65;17999.89;17919.22;17999.89;17852.21;00.03;00.04;00.00;
18.04.2018;8833.68;8831.88;8901.12;8807.54;8830.83;8833.65;17915.66;17912.02;18052.44;17862.65;00.03;00.03;00.00;
17.04.2018;8727.88;8820.04;8832.06;8727.36;8818.35;8820.93;17701.09;17888.00;17912.37;17700.04;00.03;00.03;00.00;
16.04.2018;8762.32;8726.54;8771.04;8689.61;8725.37;8728.16;17770.93;17698.38;17788.62;17623.46;00.03;00.03;00.00;
13.04.2018;8774.72;8776.17;8797.83;8742.98;8774.01;8777.48;17695.64;17698.56;17742.25;17631.62;00.04;00.03;00.00;
12.04.2018;8724.43;8774.76;8786.56;8687.21;8771.73;8776.33;17588.29;17689.75;17713.53;17513.24;00.05;00.04;00.00;
11.04.2018;8744.48;8708.44;8749.30;8695.99;8707.91;8711.47;17628.71;17556.04;17638.42;17530.94;00.04;00.03;00.00;
10.04.2018;8731.46;8755.57;8756.85;8703.34;8754.39;8757.11;17602.46;17651.06;17653.63;17545.76;00.03;00.04;00.00;
09.04.2018;8694.76;8687.08;8746.27;8659.99;8685.80;8689.30;17528.47;17512.99;17632.31;17458.37;00.04;00.04;00.00;
06.04.2018;8683.52;8671.04;8726.58;8665.66;8669.92;8673.57;17505.80;17480.65;17592.63;17469.80;00.04;00.04;00.00;
05.04.2018;8678.50;8742.60;8742.60;8641.92;8739.76;8743.42;17426.30;17555.02;17555.02;17352.84;00.04;00.04;00.00;
04.04.2018;8627.30;8553.69;8629.02;8521.42;8552.49;8555.17;17323.49;17175.69;17326.94;17110.89;00.03;00.04;00.00;
03.04.2018;8682.87;8630.93;8691.12;8612.60;8630.57;8634.09;17407.98;17303.84;17424.52;17267.09;00.04;00.04;00.00;
29.03.2018;8766.71;8740.97;8780.02;8714.77;8740.78;8744.22;17576.06;17524.46;17602.75;17471.92;00.04;00.03;00.03;
28.03.2018;8566.34;8756.12;8756.12;8522.33;8753.55;8756.49;17174.34;17554.83;17554.83;17086.11;00.03;00.04;00.00;
27.03.2018;8621.22;8638.42;8660.71;8593.38;8635.80;8638.81;17284.37;17318.85;17363.54;17228.57;00.03;00.03;00.00;
26.03.2018;8603.65;8509.29;8668.01;8501.17;8508.42;8512.83;17249.15;17059.96;17378.17;17043.68;00.05;00.04;00.00;
23.03.2018;8597.99;8569.08;8639.34;8549.15;8568.59;8571.22;17229.03;17171.09;17311.88;17131.15;00.03;00.04;00.00;
22.03.2018;8731.63;8637.87;8747.96;8625.94;8637.51;8640.83;17496.82;17308.94;17529.54;17285.03;00.04;00.04;00.00;
21.03.2018;8850.78;8783.70;8862.58;8762.31;8782.02;8785.10;17735.57;17601.16;17759.23;17558.29;00.04;00.03;00.00;
20.03.2018;8840.05;8847.29;8847.48;8772.70;8845.47;8848.18;17706.59;17721.09;17721.45;17571.68;00.03;00.03;00.00;
19.03.2018;8863.85;8811.33;8882.65;8797.97;8810.17;8812.71;17754.26;17649.06;17791.92;17622.30;00.03;00.03;00.00;
16.03.2018;8869.61;8882.53;8905.66;8860.60;8881.03;8883.75;17765.79;17791.66;17838.00;17747.73;00.03;00.03;00.00;
15.03.2018;8854.34;8878.98;8897.01;8809.91;8877.34;8880.28;17735.19;17784.56;17820.67;17646.20;00.03;00.03;00.00;
14.03.2018;8877.18;8869.33;8939.05;8856.07;8868.12;8870.98;17668.27;17652.66;17791.42;17626.26;00.03;00.03;00.00;
13.03.2018;8961.69;8880.92;8993.88;8865.96;8879.10;8882.38;17836.47;17675.72;17900.54;17645.94;00.04;00.03;00.00;
12.03.2018;8963.16;8970.74;8982.90;8932.54;8968.12;8971.49;17839.41;17854.50;17878.70;17778.46;00.04;00.03;00.00;
09.03.2018;8885.94;8931.85;8943.83;8880.40;8929.80;8932.79;17685.71;17777.09;17800.94;17674.69;00.03;00.03;00.00;
08.03.2018;8789.43;8896.42;8898.20;8789.02;8894.20;8897.28;17493.63;17706.57;17710.12;17492.80;00.03;00.03;00.00;
07.03.2018;8739.31;8784.84;8800.21;8709.80;8783.05;8786.25;17393.87;17484.48;17515.09;17335.13;00.04;00.03;00.00;
06.03.2018;8844.30;8765.88;8860.18;8765.88;8764.37;8767.21;17602.84;17446.75;17634.44;17446.75;00.03;00.03;00.00;
05.03.2018;8625.89;8808.38;8808.38;8624.04;8805.11;8808.98;17058.06;17418.93;17418.93;17054.39;00.04;00.03;00.00;
02.03.2018;8721.87;8628.51;8730.86;8612.98;8627.58;8630.22;17247.86;17063.24;17265.63;17032.52;00.03;00.03;00.00;
01.03.2018;8879.13;8792.38;8890.38;8774.96;8790.88;8793.65;17558.86;17387.30;17581.09;17352.85;00.03;00.04;00.00;
28.02.2018;8959.98;8906.38;8977.00;8906.38;8905.96;8909.47;17718.73;17612.73;17752.39;17612.73;00.04;00.03;00.03;
27.02.2018;9055.88;8992.52;9057.30;8967.72;8991.25;8995.16;17908.38;17783.09;17911.20;17734.04;00.04;00.03;00.00;
26.02.2018;8977.91;9026.11;9026.11;8962.98;9024.79;9027.75;17754.19;17849.52;17849.52;17724.66;00.03;00.03;00.00;
23.02.2018;8948.74;8948.19;8955.07;8897.56;8947.35;8950.21;17696.50;17695.42;17709.02;17595.30;00.03;00.03;00.00;
22.02.2018;8931.55;8967.43;8967.43;8899.23;8966.20;8968.86;17662.52;17733.46;17733.46;17598.59;00.03;00.03;00.00;
21.02.2018;8955.49;8988.99;8994.72;8901.39;8986.16;8990.50;17709.86;17776.10;17787.43;17602.86;00.05;00.03;00.00;
20.02.2018;8932.16;8981.39;8981.39;8898.48;8978.69;8982.53;17663.72;17761.07;17761.07;17597.11;00.04;00.03;00.00;
19.02.2018;8979.42;8908.65;8982.61;8897.83;8906.51;8909.47;17757.17;17617.23;17763.49;17595.83;00.03;00.03;00.00;
16.02.2018;8961.37;8986.72;8989.52;8940.85;8983.59;8987.17;17721.48;17771.61;17777.15;17680.89;00.04;00.03;00.00;
15.02.2018;8898.96;8917.80;8939.85;8887.41;8916.11;8918.90;17598.07;17635.32;17678.93;17575.22;00.03;00.03;00.00;
14.02.2018;8814.58;8899.10;8901.12;8748.36;8896.50;8899.63;17431.19;17598.35;17602.34;17300.24;00.04;00.04;00.00;
13.02.2018;8818.28;8752.64;8845.33;8752.64;8751.75;8755.34;17438.51;17308.71;17492.02;17308.71;00.04;00.04;00.00;
12.02.2018;8796.53;8822.18;8856.88;8780.74;8819.10;8822.65;17395.51;17446.23;17514.84;17364.28;00.04;00.04;00.00;
09.02.2018;8794.44;8682.00;8811.00;8664.03;8679.63;8682.33;17391.37;17169.01;17424.12;17133.47;00.03;00.04;00.00;
08.02.2018;8961.84;8763.11;8993.02;8763.11;8762.61;8768.23;17722.40;17329.42;17784.08;17329.42;00.06;00.04;00.00;
07.02.2018;8892.39;8975.01;9006.88;8867.32;8971.94;8975.31;17585.07;17748.45;17811.48;17535.49;00.04;00.04;00.00;
06.02.2018;8771.90;8836.71;8982.40;8732.58;8835.81;8839.10;17346.80;17474.96;17763.07;17269.03;00.04;00.04;00.00;
05.02.2018;9122.33;9100.39;9147.88;9085.39;9098.39;9101.75;18039.78;17996.40;18090.31;17966.75;00.04;00.04;00.00;
02.02.2018;9269.47;9220.69;9272.50;9220.69;9219.23;9222.28;18330.76;18234.30;18336.75;18234.30;00.03;00.04;00.00;
01.02.2018;9386.01;9290.92;9424.55;9288.05;9289.16;9292.84;18561.23;18373.18;18637.45;18367.51;00.04;00.04;00.00;
31.01.2018;9415.04;9335.40;9450.28;9335.40;9334.59;9340.18;18618.63;18461.14;18688.32;18461.14;00.06;00.03;00.03;
30.01.2018;9443.81;9433.34;9499.60;9390.16;9431.79;9434.85;18675.53;18654.82;18785.86;18569.43;00.03;00.03;00.00;
29.01.2018;9517.23;9457.27;9528.32;9451.91;9456.06;9460.83;18820.71;18702.14;18842.66;18691.54;00.05;00.03;00.00;
26.01.2018;9500.05;9515.56;9553.89;9496.66;9513.05;9516.19;18786.74;18817.41;18893.21;18780.05;00.03;00.03;00.00;
25.01.2018;9517.92;9482.96;9567.69;9474.24;9482.53;9485.35;18822.08;18752.95;18920.50;18735.71;00.03;00.03;00.00;
24.01.2018;9569.73;9547.57;9616.38;9547.57;9547.12;9550.53;18924.54;18880.72;19016.80;18880.72;00.04;00.03;00.00;
23.01.2018;9543.99;9551.58;9594.36;9529.11;9550.55;9553.78;18873.64;18888.65;18973.24;18844.21;00.03;00.03;00.00;
22.01.2018;9500.35;9529.13;9529.13;9475.06;9523.25;9529.93;18787.33;18844.25;18844.25;18737.33;00.07;00.03;00.00;
19.01.2018;9452.82;9509.77;9511.44;9447.51;9505.77;9510.38;18693.34;18805.96;18809.26;18682.85;00.05;00.03;00.00;
18.01.2018;9486.82;9452.35;9494.54;9432.49;9450.86;9454.26;18760.58;18692.41;18775.84;18653.14;00.04;00.03;00.00;
17.01.2018;9427.60;9440.01;9470.53;9422.05;9437.97;9440.72;18643.48;18668.02;18728.36;18632.49;00.03;00.03;00.00;
16.01.2018;9533.67;9464.05;9567.24;9464.05;9463.49;9466.48;18853.23;18715.56;18919.61;18715.56;00.03;00.03;00.00;
15.01.2018;9534.66;9537.28;9551.07;9511.71;9537.07;9541.22;18855.18;18860.37;18887.65;18809.81;00.04;00.03;00.00;
12.01.2018;9521.72;9546.61;9561.59;9508.99;9545.76;9548.44;18829.60;18878.82;18908.44;18804.43;00.03;00.04;00.00;
11.01.2018;9535.81;9503.85;9554.92;9475.17;9503.02;9506.34;18857.46;18794.25;18895.25;18737.55;00.03;00.03;00.00;
10.01.2018;9588.48;9524.96;9595.78;9506.27;9522.64;9525.91;18961.61;18836.01;18976.05;18799.04;00.03;00.03;00.00;
09.01.2018;9557.37;9611.61;9611.61;9554.48;9606.51;9611.82;18900.09;19007.35;19007.35;18894.38;00.06;00.03;00.00;
08.01.2018;9576.80;9541.73;9584.52;9538.37;9540.05;9544.91;18938.52;18869.17;18953.79;18862.51;00.05;00.03;00.00;
05.01.2018;9543.13;9556.98;9558.40;9527.05;9554.12;9557.87;18871.94;18899.32;18902.13;18840.14;00.04;00.04;00.00;
