Unnamed: 0,Addresse,Lat,Lng,Name,Rating,Points,geometry
136,"Schützenmattstrasse 30, 4051 Basel, Switzerland",47.5556578,7.580476699999998,Pizzeria Zum Schützen,2.8,POINT (7.580476699999998 47.5556578),POINT (7.580476699999998 47.5556578)
137,"47 Reinacherstrasse Münchenstein, 4142, Switzerland",47.52487259999999,7.604690700000001,Pizza Melsa Münchenstein,4.4,POINT (7.604690700000001 47.52487259999999),POINT (7.604690700000001 47.52487259999999)
138,"Bahnhofstrasse 26, 4106 Therwil, Switzerland",47.499066,7.555877000000001,Restaurant Toscana,4.3,POINT (7.555877000000001 47.499066),POINT (7.555877000000001 47.499066)
139,"Birskopfweglein 7, 4052 Basel, Switzerland",47.557025,7.617293000000001,Veranda Pellicanò,4.1,POINT (7.617293000000001 47.557025),POINT (7.617293000000001 47.557025)
140,"Murtenstrasse 2, 3008 Bern, Switzerland",46.948311700000005,7.4283342999999995,Ristorante Azzurro,4.5,POINT (7.4283343 46.9483117),POINT (7.4283343 46.9483117)
141,"Gerechtigkeitsgasse 7, 3011 Bern, Switzerland",46.9485071,7.4554408999999975,Verdi,4.0,POINT (7.455440899999997 46.9485071),POINT (7.455440899999997 46.9485071)
142,"Waisenhauspl. 13, 3011 Bern, Switzerland",46.948668,7.443987,"Pizzeria Ristorante Molino, Thurm",4.2,POINT (7.443987 46.948668),POINT (7.443987 46.948668)
143,"Zeughausgasse 28, 3011 Bern, Switzerland",46.9492746,7.444596099999999,Ristorante Luce,4.4,POINT (7.444596099999999 46.9492746),POINT (7.444596099999999 46.9492746)
144,"Hotelgasse 10, 3011 Bern, Switzerland",46.94756539999999,7.447945399999999,Lorenzini,4.3,POINT (7.447945399999999 46.94756539999999),POINT (7.447945399999999 46.94756539999999)
145,"Bühlstrasse 57, 3012 Bern, Switzerland",46.95266090000001,7.4322314999999985,Casa d'Italia,4.2,POINT (7.432231499999999 46.95266090000001),POINT (7.432231499999999 46.95266090000001)
146,"Kornhauspl. 7, 3011 Bern, Switzerland",46.94833,7.447761599999999,Spaghetti Factory Chindlifrässer,4.0,POINT (7.447761599999999 46.94833),POINT (7.447761599999999 46.94833)
147,"Effingerstrasse 14, 3011 Bern, Switzerland",46.9459515,7.435350099999999,Da Carlo Ristorante & Pizzeria,4.4,POINT (7.435350099999999 46.9459515),POINT (7.435350099999999 46.9459515)
148,"Spitalgasse 2, 3011 Bern, Switzerland",46.9483708,7.443432400000001,Ristorante Da Vinci,3.9,POINT (7.443432400000001 46.9483708),POINT (7.443432400000001 46.9483708)
149,"Neubrückstrasse 70, 3012 Bern, Switzerland",46.95710099999999,7.437739000000001,Ristorante Pizzeria La Vita / da Sebastiano,4.2,POINT (7.437739000000001 46.95710099999999),POINT (7.437739000000001 46.95710099999999)
150,"Waisenhauspl. 28, 3011 Bern, Switzerland",46.949661,7.4439790000000015,Il Grissino,4.2,POINT (7.443979000000001 46.949661),POINT (7.443979000000001 46.949661)
151,"Bärenpl. 7, 3011 Bern, Switzerland",46.9479438,7.443939899999998,Santa Lucia Bern,4.1,POINT (7.443939899999998 46.9479438),POINT (7.443939899999998 46.9479438)
152,"Riedbachstrasse 98, 3027 Bern, Switzerland",46.9441375,7.3734284999999975,SPIGA Ristorante,3.9,POINT (7.373428499999997 46.9441375),POINT (7.373428499999997 46.9441375)
153,"Thunstrasse 93, 3006 Bern, Switzerland",46.941275700000006,7.4627724,LOCANDA 93,4.2,POINT (7.4627724 46.94127570000001),POINT (7.4627724 46.94127570000001)
154,"PostParc Hochhaus, Bogenschützenstrasse 9, 3008 Bern, Switzerland",46.9481435,7.437897200000001,Vapiano Bern,4.1,POINT (7.437897200000001 46.9481435),POINT (7.437897200000001 46.9481435)
155,"Landoltstrasse 1, 3007 Bern, Switzerland",46.937290000000004,7.439408999999999,Pizzaiolo Pizza-Kurier,3.6,POINT (7.439408999999999 46.93729),POINT (7.439408999999999 46.93729)
156,"Bubenbergpl. 8, 3011 Bern, Switzerland",46.947584,7.438199000000001,Cavallo Star,4.0,POINT (7.438199000000001 46.947584),POINT (7.438199000000001 46.947584)
157,"Turnweg 18, 3013 Bern, Switzerland",46.958405600000006,7.447750099999999,Restaurant Römer,3.8,POINT (7.447750099999999 46.95840560000001),POINT (7.447750099999999 46.95840560000001)
158,"Kochergasse 1, 3011 Bern, Switzerland",46.9466949,7.4476773000000005,Restaurant Pizzeria Da Keli,4.2,POINT (7.4476773 46.9466949),POINT (7.4476773 46.9466949)
159,"Bühlstrasse 5, 3012 Bern, Switzerland",46.9491631,7.428567300000001,Ristorante Ambiente Holzofenpizzeria,4.3,POINT (7.428567300000001 46.9491631),POINT (7.428567300000001 46.9491631)
160,"Freiburgstrasse 68, 3008 Bern, Switzerland",46.94624899999999,7.417802,Ristorante Pizzeria Settebello,4.6,POINT (7.417802 46.94624899999999),POINT (7.417802 46.94624899999999)
161,"Belpstrasse 65, 3003 Bern, Switzerland",46.9420333,7.4314482,"Pizzeria Eigerplatz ""Da Nino""",4.7,POINT (7.4314482 46.9420333),POINT (7.4314482 46.9420333)
162,"Bärenpl. 7, 3011 Bern, Switzerland",46.947935799999996,7.443685400000001,Ristorante La Gioia,3.5,POINT (7.443685400000001 46.9479358),POINT (7.443685400000001 46.9479358)
163,"Bümplizstrasse 12, 3027 Bern, Switzerland",46.948744899999994,7.396506800000001,Tre Re,4.2,POINT (7.396506800000001 46.94874489999999),POINT (7.396506800000001 46.94874489999999)
164,"Kappelenbrücke 2 B, 3032 Hinterkappelen, Switzerland",46.9658945,7.379587400000001,Ristorante & Bar Lago,4.0,POINT (7.379587400000001 46.9658945),POINT (7.379587400000001 46.9658945)
165,"Scheibenstrasse 25, 3014 Bern, Switzerland",46.9608867,7.453334299999999,Restaurant Dolce Vita,4.3,POINT (7.453334299999999 46.9608867),POINT (7.453334299999999 46.9608867)
166,"Breitenrainpl. 26, 3014 Bern, Switzerland",46.9586107,7.455054799999999,Grotto Ticino,4.1,POINT (7.455054799999999 46.9586107),POINT (7.455054799999999 46.9586107)
167,"Länggassstrasse 44, 3012 Bern, Switzerland",46.954228,7.431122999999999,Ristorante & Bar Mappamondo,4.0,POINT (7.431122999999999 46.954228),POINT (7.431122999999999 46.954228)
168,"Bärenpl. 9, 3011 Bern, Switzerland",46.94782120000001,7.4439537,Plattform Restaurants,3.6,POINT (7.4439537 46.94782120000001),POINT (7.4439537 46.94782120000001)
169,"Papiermühlestrasse 71, 3014 Bern, Switzerland",46.9622756,7.4652228,Eleven,4.0,POINT (7.4652228 46.9622756),POINT (7.4652228 46.9622756)
170,"Aarbergergasse 6, 3011 Bern, Switzerland",46.949481799999994,7.4437687000000015,Rialto,4.2,POINT (7.443768700000001 46.94948179999999),POINT (7.443768700000001 46.94948179999999)
171,"10, Amthausgasse, 3011 Bern, Switzerland",46.94741750000001,7.446630299999999,Ristorante Pizzeria Da Bucolo,4.4,POINT (7.446630299999999 46.94741750000001),POINT (7.446630299999999 46.94741750000001)
172,"Schwarztorstrasse 47, 3007 Bern, Switzerland",46.9441753,7.432659200000001,Pizzeria La Stella,3.6,POINT (7.432659200000001 46.9441753),POINT (7.432659200000001 46.9441753)
173,"Breitenrainpl. 29, 3014 Bern, Switzerland",46.958287,7.454621,Restaurant Pizzeria Tavola Calda,4.4,POINT (7.454621 46.958287),POINT (7.454621 46.958287)
174,"Belpstrasse 34, 3007 Bern, Switzerland",46.9434276,7.431776500000002,Ristorante Ottimo,4.7,POINT (7.431776500000002 46.9434276),POINT (7.431776500000002 46.9434276)
175,"Laupenstrasse 17, 3008 Bern, Switzerland",46.947173299999996,7.434979800000002,Tre Fratelli,4.2,POINT (7.434979800000002 46.9471733),POINT (7.434979800000002 46.9471733)
