Id,Label,Date,Image,followers_count,friends_count
3801795495,zwoelf_app,Mon Sep 28 08:30:12 +0000 2015,https://pbs.twimg.com/profile_images/648415077016694784/3458kFMj_normal.png,1002,560
399370075,Glggli,Thu Oct 27 11:57:53 +0000 2011,https://pbs.twimg.com/profile_images/1609070560/der_schuh_des_manitu026_normal.jpg,18,136
437588125,pascallamprecht,Thu Dec 15 16:00:23 +0000 2011,https://pbs.twimg.com/profile_images/1816743964/P1060330_normal.JPG,351,999
46988913,ChrisDangerReid,Sat Jun 13 23:44:50 +0000 2009,https://pbs.twimg.com/profile_images/892455129160568832/Oq2pm8CZ_normal.jpg,277,587
4869675245,andreas_wisst,Mon Feb 01 16:26:02 +0000 2016,https://pbs.twimg.com/profile_images/919601808678539264/u4QFrril_normal.jpg,24542,23058
492607392,rstocker_sky,Tue Feb 14 22:33:54 +0000 2012,https://pbs.twimg.com/profile_images/2272810942/image_normal.jpg,3304,3357
495880776,UKordeck,Sat Feb 18 12:02:44 +0000 2012,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,421,405
540087657,MV_Zuerich,Thu Mar 29 14:02:51 +0000 2012,https://pbs.twimg.com/profile_images/1055442153386729472/XJl5gFb9_normal.jpg,815,449
55343681,mmznr,Thu Jul 09 19:59:38 +0000 2009,https://pbs.twimg.com/profile_images/552948031536893953/mLSQyWJq_normal.png,515,667
561916773,canteiro_hugo,Tue Apr 24 08:17:40 +0000 2012,https://pbs.twimg.com/profile_images/603238715129995265/zR8-fCuT_normal.jpg,2688,2365
620197067,nadhuberson,Wed Jun 27 17:45:41 +0000 2012,https://pbs.twimg.com/profile_images/1034578533207695360/PQC_ZP_Y_normal.jpg,664,776
624668875,OpenDataZurich,Mon Jul 02 13:26:16 +0000 2012,https://pbs.twimg.com/profile_images/879994650420969472/9LgTogJG_normal.jpg,6656,4262
708622213780480000,linaschreibt,Sat Mar 12 11:54:36 +0000 2016,https://pbs.twimg.com/profile_images/1043515650050863106/4V0fj2Pd_normal.jpg,4781,3613
72072706,MD80com,Sun Sep 06 16:48:23 +0000 2009,https://pbs.twimg.com/profile_images/1973701917/Ohne-Titel-1_normal.gif,4294,2519
722576059,reiss_gabi,Sat Jul 28 17:54:25 +0000 2012,https://pbs.twimg.com/profile_images/1070726481914007552/3KqNx9vC_normal.jpg,62,192
724288337012387840,Miltong1976,Sun Apr 24 17:26:10 +0000 2016,https://pbs.twimg.com/profile_images/724292447983947776/HQQRjEjg_normal.jpg,590,1396
765272280024965120,Baselinfo2,Mon Aug 15 19:41:44 +0000 2016,https://pbs.twimg.com/profile_images/980902413984026625/poitHFNT_normal.jpg,808,740
775904053,lenomty,Thu Aug 23 12:51:36 +0000 2012,https://pbs.twimg.com/profile_images/984792332376604673/WV88d2le_normal.jpg,180,235
800967760989880321,Ulrik_von,Tue Nov 22 07:42:50 +0000 2016,https://pbs.twimg.com/profile_images/1042162640829636608/Z7853KfZ_normal.jpg,86,159
862658023,MarianneSchro11,Fri Oct 05 07:15:24 +0000 2012,https://pbs.twimg.com/profile_images/1012806442817122304/PFPRBkWE_normal.jpg,2457,1944
